,atwards,X,id,cid,cowcode,year,warstds,ptime,yrint,autonomy,rf,popdense,auto98,dem98,pol98,army85,milgnp92,milper,milex,trade,logpop,ienergy,ienercap,lnienc,gdpmkt,gdpcap,irgdp,decade,regy,neth_war,nmgdp,nmie,nmdie,autch98,demch98,polch98,moslem,christ,jewish,eastorth,hindu,buddhist,sinic,indi_ani,atheist,other,rgdpch,gdppp,rgdpa_,lngdp_,rgdppca,expgdp,primexp,sxpold,sxpnew,sxpnew100,agexp,fuelexp,manuexp,nmp4,nmp4l,nmdp4l,nmp4m,nmp4ml,nmdp4ml,p4mchg,period5,ptwds,fedpol3,semipol3,centpol3,autdpi,munidpi,statedpi,authdpi,stcondpi,primeg,seceduc,pri,sec,secm,educyrs,primeduc,higheduc,xrreg,xrcomp,xropen,xconst,parreg,parcomp,polcomp,partfree,major,presi,incumb,inst,lmtnest,oil,anoc,dem,elfo2,ethfrac2,warhist,warhist2cow,wwgdpcap,mirps,sip2,gdpgrowth,avgnabo,part,illiteracy,pregch,warstns,warstnsb,atwarns,yrbeg,mobeg,yrend,moend,ehet,drace,dlang,drel,popns,pgrowth,popdensi,illit,illitm,infant,life,energy,irst,elfo,etdo4590,auto4,dem4,pol4,pol4m,nmpol4m,nmpol4m2,geo,gdpen,gdpgro,gdpgro3,mtnest,ncontig,ethfrac,ef,plural,second,numlang,relfrac,plurrel,muslim,nwstate,instab,anocl1,ssafrica,reg,ager,reginst,durable,exrec,exconst,exrecm,exconstm,iexrec,iexcon,polity2,durable2,xrreg2,xrcomp2,xropen2,xconst2,parreg2,exrec2,exconst2,polcomp2,poldiff,inst2,inst3,fuel,ifuel,oil2,ld_warstns,ld_warstnsb,ld_instab,ld_inst2,ld_inst3,ln_gdpen,lpopns,coldwar,anoc2,lnmtn,warnsl1,auto4l1,pol4l1,dem4l1,pol4ml1,regd4ml1,coldl1,lpopnsl1,gdpl1,grol1,oil2l1,illitl1,infal1,pdensl1,ef1,ethfrl1,nwstl1,mtnl1,lnmtnl1,etdol1,musl1,regl1,agerl1,rinstl1,anoc2l1,durabl1,durab2l1,iexrecl1,iexconl1,pol2l1,poll1,poldiffl1,inst2l1,inst3l1,gdpl1m,inst3l1m,anoc2l1m,oil2l1m,lpopns1m,musl1m,grol1m,ptwns,spl1wns,spl2wns,spl3wns,ptwbns,spl1wbns,spl2wbns,spl3wbns,cowcode2,primkey2,filter,filter1960,geo1,geo2,geo34,geo57,geo69,geo8,region,regionyear,ln_gdpen_region,regd4,regd4_alt,regd4m,nmdp4,nmdp4_alt,nmdp4m,nat_war,tnatwar,nmdgdp,indepyear,ef2,mirps0,mirps1,mirps2,mirps3,sxpsq,sxpsq100,pol4sq,ln_popns,decade1,decade2,decade3,decade4,independ,tip,anocracy,proxregc,sxpnew.2,sxpsq.2
1,0,1,1,1,700,1945,0,12,0,0.005150819,35.48196841,118.5547912,3.963860701,3.975114448,0.011253747,129472.9042,3.364458574,121.0873657,2026920.351,72.88137452,15.39613238,65.53741867,5.40E-06,-13.58918327,69136410776,3576.215319,4546.011265,3,4582.635847,0,4508.131692,133.9114437,103.9996851,0,0,0,1,0,0.110981005,0.084816551,0.125453525,0.111091359,0.048736698,0.267660721,0.100295689,0.474927864,4396.451257,5756.961919,4383.157345,7.877438621,4708.717563,33.59240989,4516829.842,0.178227181,0.158275211,15.8275211,8.510844515,15.38790337,32.74617748,-5,-5,-5,-3.333333254,-3.333333254,-1,0.051007595,1,0,0.132262805,0.058441352,1,0.049971405,1.418680857,0.84446958,0.497188687,0.444832929,87.71044549,43.77029767,87.9313547,43.61982563,45.64166798,5.045348211,3.686457217,0.14950197,3,1,1,3.995911554,3.835219223,2.733728507,5.059322679,0,0,0,0,1,4.198705196,0,0,0,2212.227998,0.433333904,0,0,7.649928895,1.916776056,0.461760065,0.022561976,0.432955021,2.43731956,34.02063882,23.46145129,0,0,0,0,0,0,0,90,0,70,20,9763000,0.016711851,118.5547912,35.29843126,29.8372025,68.65536072,61.34810429,40013.22663,3342.282218,66,1,3.925812408,3.995929011,0.070116603,0.068563675,-3.329999924,-3.329999924,5,3.975382278,0.026226808,0.053519455,65.60001373,0,0.658281028,0.750796974,0.379999995,0.252999991,8,0.271800011,84,99,0,0,0,0,0.581816728,34.46176532,0,20.9097127,5.292368934,1,1,1,1,1,-10,20.96986556,3,1,1,1,4,1,1,1,0.997580068,0.109708561,0.120896936,15.88864457,15.72947816,0,0,0,0,0,0,0.851708578,16.09411049,1,0,4.183576107,0.01073615,2.010070926,0.070116603,2.078634601,0.068563675,0.221852262,0.797062302,15.48175834,3.9962245,0.026058787,0.129261813,35.2281017,68.65536072,118.4170201,0.440660364,0.366792391,0.02665589,17.28021641,2.313681598,0.455521932,23.81346115,0.581816728,34.46176532,0,0.19407902,20.9097127,20.89941452,5.287653584,3.981327174,-0.212857013,-0.212857013,1.000385675,0.112198044,0.124304645,3.948094684,0.124708536,0,0,16.09411049,99,0.026204489,0,0,0,0,0,0,0,0,700,7001945,7001945,4277397.373,0,0,0,1,0,0,4,41945,0.665679276,-0.525089163,-0.413955664,-0.301959101,-0.484437432,-0.47518925,-0.414540558,0,0.443258781,-0.438089341,1929,0.563696086,0.143793749,0.169350066,0.313142565,0.37371362,0.05298909,5.298909,61.49301426,16.09411049,0,0,0,0,1,17,0,0.143299082,0.094094958,0.094094958
2,0,2,1,1,700,1946,0,24,1,0,35.41991877,117.7563423,3.964334015,3.951079186,-0.013254829,129413.0225,3.395092955,121.8853589,2023556.026,72.90008876,15.41061499,64.19438689,5.39E-06,-13.58217911,67276776506,3543.940322,4521.305349,3,4564.097301,0,4491.340308,133.3244551,103.225502,0,0,0,1,0,0.110147502,0.083144833,0.124768051,0.111213995,0.049091113,0.27066392,0.098339735,0.47143577,4368.951517,5682.633327,4349.608929,7.86991513,4704.910936,33.56155923,4501525.634,0.177838181,0.158321108,15.8321108,8.478997115,15.5946445,32.68707043,-5,-5,-5,-5,-5,-5,0.053836556,1,1,0,0,1,0.05190804,1.407095801,0.83571215,0.491071132,0.44432609,87.82174703,43.58836262,88.00747056,43.52862955,45.55755459,5.026119444,3.673518032,0.148923112,3,1,1,1,4,1,1,0,0,0,0,0,4.198705196,0,0,0,2219.468491,0.433333904,0,0,7.636630148,2,0,0.02244708,0.045051701,1,34.12990812,23.26752332,0,0,0,0,0,0,0,90,0,70,20,9982000,0.022431629,117.7563423,35.41752654,29.89379163,68.91800159,61.29773333,39970.07046,3360.77332,66,1,10,0,-10,-10,-5,-5,5,0.194000006,0.026177418,0.053511265,65.60001373,0,0.658281028,0.750796974,0.379999995,0.252999991,8,0.271800011,84,99,0,0,0,0,0.585307787,34.34634815,0,0,1,1,1,1,1,1,-10,20.90489726,3,1,1,1,4,1,1,1,0,0,0,16.06872164,15.91977279,0,0,0,0,0,0,-1.639897108,16.11629486,1,0,4.183576107,0,10,-10,0,-10,-3.5,1,16.09411049,3.955103672,0.026079203,0,35.36866304,68.91800159,117.7958021,0.750796974,0.658281028,0,65.60001373,4.183576107,1,99,0.585307787,34.34634815,0,0,0,20.77226905,1,1,-10,-10,0.998157725,0.112881954,0.124966879,0.194000006,0,0,0,16.09411049,99,0.026198637,1,-0.888888896,-0.703703701,-0.462962955,1,-0.888888896,-0.722222209,-0.481481493,700,7001946,7001946,4290808.867,0,0,0,1,0,0,4,41946,-0.234270021,-3,-3,-1.5,-5,-5,-1,1,1,-0.118223488,1929,0.563696086,0,0,1,0,0.052663453,5.2663453,100,16.11629486,0,0,0,0,1,18,0,1,0.094547434,0.094547434
3,0,3,1,1,700,1947,0,36,2,0,35.40798425,118.2806558,3.973155309,3.940861551,-0.032293758,130431.0145,3.396669611,122.7806077,2021187.986,72.96287959,15.41320659,64.45685279,5.39E-06,-13.58279317,67529305184,3545.351645,4517.727622,3,4559.854388,0,4484.267686,132.1699886,102.1657924,0,0,0,1,0,0.111173453,0.083045642,0.124836875,0.11159147,0.049345247,0.270870086,0.098163808,0.469912207,4364.105509,5678.756379,4347.804961,7.868255234,4699.105175,33.57712756,4497744.498,0.177683252,0.158424518,15.8424518,8.481014929,15.6018104,32.65544178,-4.75,-4.75,-4.5,-4.75,-4.75,-4.5,0,1,2,0,0,1,0.052104192,1.408159738,0.835756892,0.492665869,0.443511723,87.79234942,43.53818117,87.97230887,43.49235411,45.52306254,5.02110017,3.66966213,0.148718104,3,1,1,1,4,1,1,0,0,0,0,0,4.198705196,0,0,0,2219.825536,0.433333904,0,0,7.634659956,2,0,0.022371505,0.030034499,1,34.18327226,23.26088866,0,0,0,0,0,0,0,90,0,70,20,10204000,0.022240032,118.2806558,35.46536933,29.92516657,69.01754485,61.28517573,40071.20084,3360.47458,66,1,10,0,-10,-10,-4.75,-4.75,5,0.195999995,0.010309278,0.053494114,65.60001373,0,0.658281028,0.750796974,0.379999995,0.252999991,8,0.271800011,84,99,0,0,0,0,1,77,0,0,1,1,1,1,1,1,-10,20.91975796,3,1,1,1,4,1,1,1,0,0,0,16.0735229,15.91554799,0,0,0,0,0,0,-1.629640698,16.13829041,1,0,4.183576107,0,10,-10,0,-10,-3.25,1,16.11629486,0.194000006,0.026068107,0,35.41553046,69.01754485,118.2730446,0.750796974,0.658281028,0,65.60001373,4.183576107,1,99,1,77,0,0,0,20.77338687,1,1,-10,-10,0,0,0,0.194000006,0,0,0,16.11629486,99,0.010309278,2,-7.111111164,-5.629629612,-3.703703642,2,-7.111111164,-5.777777672,-3.85185194,700,7001947,7001947,4293719.594,0,0,0,1,0,0,4,41947,-0.191889137,-3,-3,-1.5,-5,-5,-5,1,2,-0.005596805,1929,0.563696086,0,0,1,0,0.052891456,5.2891456,100,16.13829041,0,0,0,0,1,19,0,1,0.0955669,0.0955669
4,0,4,1,1,700,1948,0,48,3,0,35.42971913,118.3258692,3.982209078,3.929385426,-0.052823653,126781.6866,3.398606534,118.2564267,1937812.163,73.10244872,15.40248494,62.76967829,5.40E-06,-13.5831088,65957350084,3538.992284,4505.615991,3,4552.18975,0,4474.082672,132.8795238,103.0443074,0,0,0,1,0,0.109695254,0.082306688,0.125075307,0.110780972,0.048779428,0.272840067,0.097849764,0.469617781,4350.701094,5669.94564,4342.33347,7.866234657,4685.678167,33.62598963,4493250.139,0.178190754,0.159006407,15.9006407,8.451628169,15.73933973,32.50294534,-3.25,-3.25,-3,-3.25,-3.25,-3,0,1,3,0,0,1,0.050322228,1.398728233,0.829927247,0.486587054,0.441407089,87.70995433,43.49000505,87.88568203,43.41310685,45.44689184,5.014381288,3.66493291,0.148583991,3,1,1,1,4,1,1,0,0,0,0,0,4.198705196,0,0,0,2225.284783,0.433333904,0,0,7.63166247,2,0,0.022238827,0.0225258,1,34.23444522,23.23458622,0,0,0,0,0,0,0,90,0,70,20,11439000,0.121030971,118.3258692,35.58112534,30.02406039,69.1267884,61.25296748,38787.42822,3260.75984,66,1,10,0,-10,-10,-3.25,-3.25,5,0.194000006,-0.010204081,0,65.60001373,0,0.658281028,0.750796974,0.379999995,0.252999991,8,0.271800011,84,99,0,0,0,0,1,78,0,0,1,1,1,1,1,1,-10,20.89359698,3,1,1,1,4,1,1,1,0,0,0,16.19671978,16.01091017,0,0,0,0,0,0,-1.639897108,16.25253868,1,0,4.183576107,0,10,-10,0,-10,-3.555999994,1,16.13829041,0.195999995,0.010309278,0,35.53150062,69.1267884,118.3351148,0.750796974,0.658281028,0,65.60001373,4.183576107,1,99,1,78,0,0,0,20.74657215,1,1,-10,-10,0,0,0,0.195999995,0,0,0,16.13829041,99,0.010309278,3,-24,-19,-12.5,3,-24,-19.5,-13,700,7001948,7001948,4297356.141,0,0,0,1,0,0,4,41948,-0.273971021,-3.5,-3.5,-3,-4.5,-4.5,-4.5,1,2,-0.016320594,1929,0.563696086,0,0,1,0,0.052902424,5.2902424,100,16.25253868,0,0,0,0,1,20,0,1,0.101303449,0.101303449
5,0,5,1,1,700,1949,0,60,4,0,35.40010271,118.3122959,3.973678697,3.949860245,-0.023818451,130979.247,3.383485022,122.2450743,2022832.33,72.85038912,15.41403273,64.85888683,5.38E-06,-13.5863619,68168435790,3554.029279,4528.103915,3,4570.361715,0,4497.299503,133.6510716,103.4878737,0,0,0,1,0,0.111175736,0.083262624,0.124562221,0.111843138,0.049416303,0.269917271,0.09863759,0.471805824,4372.513428,5698.153736,4358.965216,7.870947985,4700.808948,33.5386084,4509679.05,0.177462629,0.158073534,15.8073534,8.500171623,15.52500967,32.74152099,-3.5,-3.5,-4.5,-3.5,-3.5,-4.5,0,1,4,0,0,1,0.051838031,1.411389121,0.839207683,0.496489042,0.44539791,87.7777737,43.60223817,87.94733069,43.53812523,45.57794033,5.024398029,3.671074265,0.148781094,3,1,1,1,4,1,1,0,0,0,0,0,4.198705196,0,0,0,2216.878723,0.433333904,0,0,7.639610596,2,0,0.02246233,0.0225258,1,34.16409864,23.31389018,0,0,0,0,0,0,0,90,0,70,20,11648000,0.018270828,118.3122959,35.43849378,29.92405712,68.96029055,61.30154697,40188.9775,3363.430404,66,1,10,0,-10,-10,-3.5,-3.5,5,0.246999994,0.273195863,0.260204077,65.60001373,0,0.658281028,0.750796974,0.379999995,0.252999991,8,0.271800011,84,99,0,0,0,0,1,79,0,0,1,1,1,1,1,1,-10,20.96015674,3,1,1,1,4,1,1,1,0,0,0,16.01453751,15.84120502,0,0,0,0,0,0,-1.398366928,16.27064514,1,0,4.183576107,0,10,-10,0,-10,-1.082999945,1,16.25253868,0.194000006,-0.010204081,0,35.37370789,68.96029055,118.2455945,0.750796974,0.658281028,0,65.60001373,4.183576107,1,99,1,79,0,0,0,20.80719025,1,1,-10,-10,0,0,0,0.194000006,0,0,0,16.25253868,99,-0.010204081,4,-56.88888931,-45.0370369,-29.62962914,4,-56.88888931,-46.22222137,-30.81481552,700,7001949,7001949,4283813.301,0,0,0,1,0,0,4,41949,-0.367687076,2,2,1,-3,-3,-3,1,2,-0.310457617,1929,0.563696086,0,0,1,0,0.052706158,5.2706158,100,16.27064514,0,0,0,0,1,21,0,1,0.092106727,0.092106727
6,0,6,1,1,700,1950,0,72,5,0,35.47221362,118.7522534,3.96531353,3.971818386,0.006504856,130616.5315,3.350694884,121.5477048,2026749.618,72.76837983,15.40875983,65.95400821,5.42E-06,-13.58547085,69416252793,3583.412907,4554.101112,3,4589.689465,0,4515.619904,135.1795723,105.0063348,0,0,0,1,0,0.110946946,0.084625672,0.125424316,0.111762944,0.049108398,0.266461561,0.100410067,0.476245298,4403.345791,5752.588899,4388.621761,7.879807403,4720.166832,33.57074489,4521177.633,0.177556238,0.157900041,15.7900041,8.528873304,15.31120436,32.86033323,-3.5,-3.5,-4.5,-3.5,-3.5,-4.5,0,2,5,0,0,1,0.050824626,1.418697315,0.842948902,0.495518088,0.44827478,87.82570872,43.81639855,87.99353886,43.66899831,45.71170467,5.047116432,3.68716366,0.149603027,3,1,1,1,4,1,1,0,0,0,0,0,4.198705196,0,0,0,2214.535794,0.433333904,0,0,7.651899096,2,0,0.022555445,0.0225258,1,34.00237172,23.48231148,0,0,0,0,0,0,0,90,0,70,20,11830000,0.015625,118.7522534,35.255102,29.81286929,68.61551525,61.36998276,40150.18299,3361.533309,66,1,10,0,-10,-10,-3.5,-3.5,5,0.187999994,-0.238866404,-0.030927835,65.60001373,0,0.658281028,0.750796974,0.379999995,0.252999991,8,0.271800011,84,99,0,0,0,0,1,80,0,0,1,1,1,1,1,1,-10,21.09806623,3,1,1,1,4,1,1,1,0,0,0,15.82728062,15.65151309,0,0,0,0,0,0,-1.671313405,16.28614998,1,0,4.183576107,0,10,-10,0,-10,-1.692000031,1,16.27064514,0.246999994,0.273195863,0,35.18545552,68.61551525,118.6453277,0.750796974,0.658281028,0,65.60001373,4.183576107,1,99,1,80,0,0,0,20.9441558,1,1,-10,-10,0,0,0,0.246999994,0,0,0,16.27064514,99,0.273195863,5,-111.1111145,-87.96295929,-57.87036896,5,-111.1111145,-90.27777863,-60.18518448,700,7001950,7001950,4269609.33,0,0,0,1,0,0,4,41950,-0.280063361,-0.5,-0.5,0,-4.5,-4.5,-4.5,1,2,-0.211813569,1929,0.563696086,0,0,1,0,0.052757353,5.2757353,100,16.28614998,0,0,0,0,1,22,0,1,0.090396348,0.090396348
7,0,7,1,1,700,1951,0,84,6,0,35.46567412,118.9002157,3.973816545,3.96412798,-0.009688565,129142.7125,3.353968771,119.6265161,2001987.351,72.86189676,15.40222954,65.25755033,5.42E-06,-13.585277,68807529646,3580.553587,4549.636532,3,4586.529486,0,4509.490455,134.225954,104.2702933,0,0,0,1,0,0.111158053,0.084513578,0.125423544,0.111385544,0.048788591,0.267267004,0.100371413,0.475830601,4401.697738,5740.960229,4386.790448,7.87899092,4713.908558,33.63084753,4514731.822,0.177992093,0.158282143,15.8282143,8.546964566,15.35303205,32.76987141,-3.25,-3.25,-4.5,-3.25,-3.25,-4.5,0,2,6,0,0,1,0.050148534,1.414518882,0.840514452,0.494713798,0.445490559,87.78781063,43.77536684,87.94504923,43.63439016,45.67975987,5.042524623,3.683967007,0.149357212,3,1,1,1,4,1,1,0,0,0,0,0,4.198705196,0,0,0,2214.54534,0.433333904,0,0,7.650888681,2,0,0.022459261,0.0225258,1,34.05697055,23.46860555,0,0,0,0,0,0,0,90,0,70,20,11983000,0.012933221,118.9002157,35.32208672,29.86847477,68.71080512,61.3525836,39758.31632,3317.687994,66,1,10,0,-10,-10,-3.25,-3.25,5,0.211999997,0.127659574,-0.141700402,65.60001373,0,0.658281028,0.750796974,0.379999995,0.252999991,8,0.271800011,84,99,0,0,0,0,1,81,0,50,1,1,1,1,1,1,-10,21.09351219,3,1,1,1,4,1,1,1,0,0,0,15.87161681,15.70153391,0,0,0,0,0,0,-1.551169038,16.29899979,1,0,4.183576107,0,10,-10,0,-10,-0.92900002,1,16.28614998,0.187999994,-0.238866404,0,35.25474993,68.71080512,118.7752239,0.750796974,0.658281028,0,65.60001373,4.183576107,1,99,1,81,0,0,50,20.93155191,1,1,-10,-10,0,0,0,0.187999994,0,0,0,16.28614998,99,-0.238866404,6,-192,-152,-100,6,-192,-156,-104,700,7001951,7001951,4271300.364,0,0,0,1,0,0,4,41951,-0.235270739,0,0,0,-4.5,-4.5,-4.5,1,2,-0.145551443,1929,0.563696086,0,0,1,0,0.052931894,5.2931894,100,16.29899979,0,0,0,0,1,23,0,7.89E-31,0.094163297,0.094163297
8,0,8,1,1,700,1952,0,96,7,0,35.4545336,118.6605906,3.972831522,3.965913954,-0.006917568,129067.3178,3.352164677,119.6121947,1974899.396,72.82531974,15.40363794,65.09238223,5.40E-06,-13.58923243,68688755336,3574.924531,4547.422221,3,4586.327079,0,4508.603471,134.3215425,104.4192788,0,0,0,1,0,0.11109472,0.084510867,0.125104922,0.111295608,0.048794858,0.267195541,0.100152316,0.475802806,4394.610547,5738.908044,4382.159551,7.878110267,4710.434679,33.58771682,4493877.203,0.177696225,0.158117483,15.8117483,8.550920836,15.35213709,32.7746272,-3.25,-3.25,-4.5,-3.25,-3.25,-4.5,0,2,7,0,0,1,0.050140277,1.416038443,0.84057605,0.495350324,0.445636597,87.75791862,43.75364574,87.92076008,43.60672418,45.65394476,5.03915851,3.681862729,0.149186268,3,1,1,1,4,1,1,0,0,0,0,0,4.198705196,0,0,0,2214.870775,0.433333904,0,0,7.649963816,2,0,0.022546976,0.0225258,1,34.07915815,23.4576744,0,0,0,0,0,0,0,90,0,70,20,12138000,0.012934991,118.6605906,35.35075889,29.8914436,68.73575868,61.34484433,39247.04566,3291.949057,66,1,10,0,-10,-10,-3.25,-3.25,5,0.221000001,0.042452831,0.175531909,65.60001373,0,0.658281028,0.750796974,0.379999995,0.252999991,8,0.271800011,84,99,0,0,0,0,1,82,0,51,1,1,1,1,1,1,-10,21.06240569,3,1,1,1,4,1,1,1,0,0,0,15.86014227,15.67910913,0,0,0,0,0,0,-1.509592533,16.3118515,1,0,4.183576107,0,10,-10,0,-10,-1,1,16.29899979,0.211999997,0.127659574,0,35.27761141,68.73575868,118.4814349,0.750796974,0.658281028,0,65.60001373,4.183576107,1,99,1,82,0,0,51,20.90773157,1,1,-10,-10,0,0,0,0.211999997,0,0,0,16.29899979,99,0.127659574,7,-303.8888855,-241.3703766,-158.7962952,7,-303.8888855,-247.722229,-165.1481476,700,7001952,7001952,4271266.214,0,0,0,1,0,0,4,41952,-0.210854694,0,0,0,-4.5,-4.5,-4.5,1,1,-0.232333764,1929,0.563696086,0,0,1,0,0.052819832,5.2819832,100,16.3118515,0,0,0,0,1,24,0,1.97E-31,0.092539998,0.092539998
9,0,9,1,1,700,1953,0,108,8,0,35.43160766,118.9176141,3.967038327,3.972325256,0.005286929,130133.2989,3.352916884,120.3301082,1988674.432,72.84402464,15.4056785,65.8541795,5.42E-06,-13.58331345,69545362107,3589.931831,4556.311306,3,4593.182337,0,4518.144112,134.6769315,104.6252219,0,0,0,1,0,0.111695869,0.084602752,0.125156108,0.111394631,0.048918164,0.266133437,0.100432241,0.476040543,4408.130254,5756.45447,4393.110402,7.880680348,4727.536925,33.59544025,4519404.198,0.17762143,0.157871792,15.7871792,8.530715425,15.31176413,32.87117757,-3.333333254,-3.333333254,-7,-2.5,-2.5,-3.5,0,2,8,0,0,1,0.051129541,1.41700312,0.843446754,0.498406168,0.447668998,87.82939299,43.84257496,87.99175895,43.71553608,45.76050776,5.047791399,3.687246353,0.149534806,3,1,2,1,4,1,1,0,0,0,0,0,4.198705196,0,0,0,2209.892627,0.433333904,0,0,7.653418217,2,0,0.022527273,0.0225258,1,34.01076218,23.49042245,0,0,0,0,0,0,0,90,0,70,20,12299000,0.013264129,118.9176141,35.27112838,29.83425171,68.59224088,61.37944268,39625.6298,3326.015115,66,1,10,0,-10,-10,-2.5,-2.5,5,0.218999997,-0.009049774,0.033018868,65.60001373,0,0.658281028,0.750796974,0.379999995,0.252999991,8,0.271800011,84,99,0,0,0,0,1,83,0,52,1,1,2,1,2,1,-10,21.09609964,3,1,2,1,4,2,1,1,0,0,0,15.83943513,15.66398097,0,0,0,0,0,0,-1.518683553,16.32502937,1,0,4.183576107,0,10,-10,0,-10,-0.42899999,1,16.3118515,0.221000001,0.042452831,0,35.19911649,68.59224088,118.766049,0.750796974,0.658281028,0,65.60001373,4.183576107,1,99,1,83,0,0,52,20.94077838,1,1,-10,-10,0,0,0,0.221000001,0,0,0,16.3118515,99,0.042452831,8,-447.1111145,-360.2962952,-237.0370331,8,-447.1111145,-369.777771,-246.5185242,700,7001953,7001953,4270762.213,0,0,0,1,0,0,4,41953,-0.179851308,2.5,2.5,2.5,-4.5,-4.5,-4.5,0,0,-0.223978817,1929,0.563696086,0,0,1,0,0.052776473,5.2776473,100,16.32502937,0,0,0,0,1,25,0,4.93E-32,0.090117855,0.090117855
10,0,10,1,1,700,1954,0,120,9,0,35.48062073,118.635662,3.962076469,3.978004084,0.015927615,131839.4309,3.34750177,122.4268865,2035846.145,72.69639951,15.41165902,66.5434575,5.41E-06,-13.58496692,70037114788,3587.757443,4559.296567,3,4592.3522,0,4518.756117,135.1083583,104.8548942,0,0,0,1,0,0.111488445,0.084664773,0.12529555,0.112173057,0.049463914,0.266347466,0.100472133,0.476203449,4409.257133,5754.947023,4394.426993,7.880337352,4720.861947,33.5560698,4525895.785,0.177177482,0.157676585,15.7676585,8.544635522,15.2788374,32.88007872,-3.333333254,-3.333333254,-7,-2.5,-2.5,-3.5,0,2,9,0,0,1,0.05111885,1.420161392,0.846608011,0.50013417,0.447581414,87.81899055,43.82350357,87.97485686,43.6935486,45.73174457,5.050092106,3.688398996,0.149747977,3,1,2,1,4,1,1,0,0,0,0,0,4.198705196,0,0,0,2212.349978,0.433333904,0,0,7.652972083,2,0,0.022571398,0,1,34.02791119,23.48813689,0,0,0,0,0,0,0,90,0,70,20,12470000,0.013903569,118.635662,35.2698075,29.82896177,68.56796084,61.37896642,40789.49523,3418.374758,66,1,10,0,-10,-10,-2.5,-2.5,5,0.282999992,0.292237431,0.280543,65.60001373,0,0.658281028,0.750796974,0.379999995,0.252999991,8,0.271800011,84,99,0,0,0,0,1,84,0,53,2,1,2,1,2,1,-10,21.10934646,3,1,2,1,4,2,1,1,0,0,0,15.79556286,15.62706098,0,0,0,0,0,0,-1.262308359,16.33883667,1,0,4.183576107,0,10,-10,0,-10,-0.400000006,1,16.32502937,0.218999997,-0.009049774,0,35.19775821,68.56796084,118.5243028,0.750796974,0.658281028,0,65.60001373,4.183576107,1,99,1,84,0,0,53,20.95989868,2,1,-10,-10,0,0,0,0.218999997,0,0,0,16.32502937,99,-0.009049774,9,-621,-513,-337.5,9,-621,-526.5,-351,700,7001954,7001954,4271502.588,0,0,0,1,0,0,4,41954,-0.254035652,2.5,0,0,-7,-5.5,-3.5,0,0,-0.307447225,1929,0.563696086,0,0,1,0,0.052665518,5.2665518,100,16.33883667,0,0,0,0,1,26,0,1.23E-32,0.088193408,0.088193408
