Constituency,ProvId,Lliga,ColShock,IdMob,logPop,Manre_dist,dum_Landowners,BCN,cotton_looms1861,cotton_looms1931,spindles1900_per,looms1900_per,WorkersCotton,WoolFactories
Arenys de Mar,8,6,3.8924892,7,10.586003,62.0377,17.241379,0,762.0,867.0,0.54263306,1.8218827,1056,2.9411764
Balaguer,25,5,3.1338344,10,10.556749,86.2578,31.428572,0,12.0,224.0,1.2553962,0.26394373,20,0.0
Barcelona,8,12,3.322046,29,12.2014675,47.8094,100.0,1,9968.0,14524.0,24.60949,27.39199,14688,5.3925457
Berga,8,5,17.48885,2,10.3544035,42.0677,11.904762,0,789.0,7466.0,6.3745575,9.232438,827,0.0
Borges Blanques,25,1,1.5142682,5,10.641202,83.7119,18.918919,0,0.0,140.0,0.0,0.15657678,0,0.0
Castellter��ol,8,10,14.479072,4,10.259167,23.2939,14.285715,0,629.0,4295.0,2.1053808,5.507029,1111,15.625
Cervera,25,2,1.2720155,8,10.503065,46.1752,27.777779,0,18.0,11.0,0.0,0.032433763,18,0.0
Figueres,17,1,0.6460334,4,10.514692,112.0455,11.111112,0,24.0,0.0,0.25628042,0.026841734,24,0.0
Gandesa,43,1,0.55829257,1,10.665671,138.8531,19.23077,0,9.0,0.0,0.0,0.010065651,9,0.0
Girona,17,4,3.9847054,6,10.644305,88.8581,17.391304,0,270.0,1101.0,2.5333612,1.5333341,589,0.0
Granollers,8,12,7.7751627,9,10.795629,40.2968,26.923079,0,1012.0,3198.0,0.22884756,4.7084875,1012,0.0
Igualada,8,4,8.042548,5,10.367316,23.0902,10.0,0,872.0,2546.0,1.5761616,3.8227103,2307,0.0
La Bisbal,17,3,0.6690979,9,10.6979265,103.7004,21.73913,0,0.0,0.0,0.0,0.0,0,0.0
Lleida,25,1,0.92515635,3,10.672159,104.1455,30.434782,0,0.0,84.0,0.0,0.09394607,0,0.0
Manresa,8,11,14.180646,7,10.839914,0.0,32.0,0,1412.0,11586.0,17.57125,14.537036,3941,0.0
Matar��,8,4,5.557414,7,10.634412,54.9464,60.000004,0,2391.0,3135.0,4.5947914,6.1803093,4019,0.0
Olot,17,7,1.9016213,6,10.3545,75.2172,4.7619047,0,252.0,4.0,0.45850882,0.28631184,417,6.4
Puigcerd��,17,9,10.118981,7,10.541227,79.0474,4.255319,0,24.0,787.0,5.3265333,0.90702695,48,5.4054055
Roquetes,43,2,0.4868109,3,10.712371,158.01,27.777779,0,10.0,0.0,0.0,0.011184056,4,0.0
Sabadell,8,5,5.34346,6,10.464674,29.4154,81.818184,0,977.0,2975.0,3.3929825,4.419939,2556,30.215828
Sant Feliu de Llobregat,8,7,8.203845,5,10.23027,40.6833,60.000004,0,739.0,3511.0,6.890867,4.753224,1759,0.0
Santa Coloma de Farners,17,9,0.5681901,8,10.371646,69.7369,44.444447,0,0.0,205.0,0.0,0.22927316,0,0.0
Seu d'Urgell,25,7,1.2103047,3,10.1072445,76.1822,1.8867924,0,0.0,88.0,0.0,0.098419696,0,0.0
Solsona,25,6,2.4159057,4,10.33945,39.5703,18.421053,0,0.0,96.0,0.22193883,0.107366934,0,0.0
Sort-Vielha,25,1,0.39731613,4,10.18539,95.2374,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Tarragona-Reus-Falset,43,5,2.3624785,17,11.68523,80.8094,35.21127,0,840.0,533.0,3.2609086,1.5355709,1425,0.0
Terrassa,8,1,3.8843296,4,10.33877,20.6808,33.333336,0,73.0,1605.0,0.21134716,1.8766845,918,26.446281
Torroella de Montgr��,17,3,2.12723,1,10.501087,116.9048,13.333334,0,73.0,132.0,0.078987904,0.22927316,103,9.230769
Tortosa,43,1,1.7592201,3,10.75445,145.1701,18.181818,0,23.0,0.0,0.0,0.025723329,23,0.0
Tremp,25,1,1.4712839,3,10.136304,92.1527,13.513513,0,0.0,15.0,0.0,0.016776085,0,0.0
Valls,43,4,2.1200807,5,10.465586,67.5362,41.666664,0,393.0,786.0,0.758047,1.3186002,568,6.60066
Vendrell,43,0,0.42914364,4,10.493772,61.4783,20.0,0,47.0,743.0,0.9940627,0.88354045,371,0.0
Vic,8,4,11.730333,7,10.633232,42.9578,6.4516125,0,974.0,1832.0,10.509126,3.138246,2405,2.583026
Vilademuls,17,6,1.026247,2,10.395069,97.6272,16.666668,0,0.0,0.0,0.0,0.0,0,0.0
Vilafranca del Pened��s,8,2,1.5832793,6,10.501362,42.7319,34.375,0,4.0,329.0,0.33845073,0.37242907,234,7.6086955
Vilanova i la Geltr��,8,11,10.430075,8,10.616854,54.6417,54.166668,0,1152.0,2846.0,5.9100885,4.4713855,2124,0.0
Balaguer,25,1,3.166805,9,10.927304,76.1632,20.408163,0,0.0,252.0,1.2155893,0.2818382,0,0.0
Barcelona 1,8,6,5.888834,29,12.123376,37.9909,100.0,1,1903.0,2393.0,1.9981922,4.8046703,2484,0.0
Barcelona 2,8,6,3.3105302,29,12.123376,39.5518,100.0,1,4002.5,6065.5,10.060009,11.260108,1960,0.7352941
Barcelona 3,8,5,5.116093,41,13.108102,43.0377,100.0,1,4062.5,6065.5,12.551288,11.327212,2307,0.0
Cervera-Solsona,25,1,1.468682,11,11.028774,37.5373,25.352112,0,18.0,167.0,0.0,0.20690504,18,0.0
Falset-Gandesa,43,4,0.9384519,6,11.233437,117.238,26.31579,0,36.0,0.0,0.0,0.040262602,35,0.0
Figueres,17,4,0.6810671,6,11.013155,110.2041,12.698414,0,24.0,0.0,0.25628042,0.026841734,24,0.0
Girona,17,6,3.6027222,8,11.184102,87.6495,18.181818,0,343.0,681.0,2.1678052,1.1452473,692,3.7267082
Igualada-Vilafranca,8,5,5.681991,12,11.197598,23.6763,22.413794,0,914.0,3052.0,2.3677692,4.4355965,2678,2.017291
La Bisbal,17,7,0.76799643,8,10.8211775,102.3131,17.142859,0,0.0,0.0,0.0,0.0,0,0.0
Lleida-Borges Blanques,25,1,1.1873958,10,11.407054,95.4903,24.242424,0,12.0,224.0,0.26174587,0.26394373,20,0.0
Manresa-Berga,8,6,15.416938,9,11.485349,20.8687,19.444445,0,2334.0,21101.0,25.525362,26.209835,5274,0.0
Matar��-Arenys de Mar,8,4,5.077249,14,11.264515,55.2802,35.0,0,3128.0,3791.0,5.0584364,7.7382483,5044,1.2195122
Olot-Puigcerd��,17,5,7.839688,13,11.161039,68.1335,4.4117646,0,276.0,791.0,5.785043,1.1933388,465,6.030151
Reus,43,0,2.926619,4,10.77455,87.8866,50.0,0,666.0,262.0,3.0371094,1.0378804,1176,0.0
Santa Coloma de Farners,17,5,0.890086,8,10.6652975,64.83,32.142857,0,0.0,757.0,0.444544,0.846633,0,0.0
Seu d'Urgell-Sort,25,1,0.5333084,6,10.461931,84.9586,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Tarragona-Vendrell,43,1,1.6812805,10,11.066201,61.1742,20.512821,0,152.0,341.0,0.22379905,0.55137396,223,0.0
Terrassa-Sabadell,8,5,4.8039465,10,11.1713505,20.1911,62.5,0,1122.0,5001.0,3.6043296,6.8479977,3558,28.641975
Tortosa,43,1,1.7217376,5,11.284254,146.9564,26.086956,0,28.0,0.0,0.0,0.031315356,27,0.0
Tremp-Vielha,25,1,1.334213,4,10.244556,103.8441,7.017544,0,0.0,15.0,0.0,0.016776085,0,0.0
Valls-Montblanc,43,3,2.0554023,8,10.966732,58.1116,33.333336,0,440.0,1459.0,1.7521098,2.1238523,939,4.1841006
Vic-Granollers,8,7,10.845773,17,11.443758,35.5947,9.876543,0,2435.0,7066.0,11.342788,10.625972,3969,6.27451
Vilanova-Sant Feliu de Llobregat,8,6,8.992532,13,11.203679,37.6465,53.846157,0,1853.0,6180.0,12.347799,8.984152,3746,0.0
