statenm,state,reformwt,leadindx,ranney,simple,compound,termrank,culture,ideology,fiscalin,lwv_act,ffactor,residvot,ffrxrv,commrec
NJ,30.0,3.06,3.0,0.979,0.0,1.0,0.0,0.0,3.47,113.6184,0.0,16.423,3.24,87.57072,0.0
WV,48.0,2.26,1.0,0.811,0.0,0.0,0.0,0.0,3.89,113.6439,0.0,6.484,1.86,68.75862,0.0
NC,33.0,4.5,1.0,0.881,0.0,0.0,0.0,0.0,3.73,101.8209,0.0,12.928,3.54,108.0514,0.0
WY,50.0,2.24,0.5,0.784,0.0,0.0,1.0,0.0,3.68,108.882,0.0,41.965,3.59,5.334739,0.0
LA,18.0,1.5,1.0,0.923,1.0,0.0,1.0,0.0,3.8,108.5385,0.0,7.878,0.67,23.83391,0.0
MI,22.0,4.26,1.0,0.889,0.0,0.0,1.5,1.0,3.54,92.9038,1.0,5.269,1.11,42.38202,0.0
MT,26.0,1.74,1.0,0.814,0.0,0.0,1.5,1.0,3.28,104.3554,1.0,27.313,1.65,26.6277,0.0
KS,16.0,2.72,0.5,0.784,0.0,0.0,0.0,1.0,3.55,85.4498,0.0,21.834,2.21,47.77357,0.0
SD,41.0,5.12,0.5,0.747,0.0,0.0,1.5,1.0,3.55,117.8723,0.0,23.229,1.82,36.80404,0.0
OK,36.0,1.68,0.5,0.93,1.0,0.0,1.0,0.0,3.98,111.6449,0.0,22.161,0.81,17.2449,0.0
TX,43.0,4.18,1.5,0.878,0.0,1.0,0.0,0.0,3.79,101.2976,1.0,21.913,1.02,21.96876,0.0
KY,17.0,3.5,0.0,0.871,0.0,1.0,0.0,0.0,3.73,107.0371,0.0,15.456,2.2,61.589,0.0
IL,13.0,0.0,1.0,0.981,0.0,1.0,0.0,0.0,3.26,104.8216,0.0,12.36,3.85,119.7003,0.0
AZ,3.0,2.0,0.5,0.848,0.0,1.0,1.5,0.0,3.33,90.3504,1.0,6.565,1.76,64.91936,0.0
NV,28.0,3.12,1.0,0.915,0.0,1.0,1.0,0.0,3.46,98.4714,0.0,3.714,1.26,50.06862,0.0
CA,5.0,3.98,2.0,0.818,0.0,0.0,1.5,1.0,3.32,103.2913,0.0,12.406,1.59,49.36155,0.0
ME,19.0,1.6,0.5,0.963,1.0,0.0,1.5,1.0,3.53,90.7545,1.0,5.496,1.6,60.728,0.0
IA,15.0,3.02,1.0,0.935,1.0,0.0,0.0,1.0,3.61,83.5716,0.0,0.326,1.05,45.28125,0.0
CT,7.0,0.0,1.5,0.933,0.0,1.0,0.0,0.0,3.25,97.5878,1.0,18.511,0.99,24.6906,0.0
AR,4.0,2.14,0.5,0.843,1.0,0.0,1.5,0.0,4.01,97.4832,1.0,5.601,1.68,63.58799,0.0
WI,49.0,1.38,1.5,0.924,0.0,1.0,0.0,1.0,3.52,75.7365,0.0,0.23,0.9,38.8989,0.0
DE,8.0,0.0,0.0,0.949,0.0,1.0,0.0,0.0,3.33,118.6118,1.0,13.48,1.56,46.75476,0.0
WA,47.0,2.48,1.0,0.943,0.0,0.0,0.0,1.0,3.3,84.9846,0.0,5.89,1.31,49.20491,0.0
MN,23.0,2.52,1.5,0.952,0.0,1.0,0.0,1.0,3.46,106.1891,0.0,2.573,0.79,32.29362,0.0
GA,10.0,7.08,1.5,0.901,0.0,0.0,0.0,0.0,3.94,90.6313,1.0,11.968,3.99,125.6172,0.0
