"fatal","lowdem","terr500k10yr","interaction4","defense","caprat","contig","pnbdem_low","peaceyears","spline1","spline2","spline3"
1,-7,2,-14,0,0.637422859668732,1,0,1,-0.956756770610809,-0.897297322750092,-0.805405378341675
1,-7,5,-35,0,0.190903335809708,1,0.111111111938953,10,-948.756774902344,-897.297302246094,-805.405395507812
1,-7,10,-70,0,0.0114463241770864,0,0.25,2,-7.65405416488647,-7.17837858200073,-6.4432430267334
1,-9,10,-90,0,0.426372468471527,1,0.25,6,-206.659454345703,-193.816223144531,-173.967575073242
1,-7,0,0,0,0.103403426706791,1,0,0,0,0,0
1,-4,0,0,0,0.101300351321697,1,0.111111111938953,0,0,0,0
1,-7,0,0,0,0.120521172881126,0,0,17,-3971.5458984375,-4408.42138671875,-3956.95678710938
1,-10,0,0,0,0.309047639369965,1,0,0,0,0,0
1,-9,10,-90,1,0.56569093465805,1,0.300000011920929,12,-1589.27563476562,-1550.52978515625,-1391.74060058594
1,-9,0,0,0,0.158787876367569,1,0.125,2,-7.65405416488647,-7.17837858200073,-6.4432430267334
1,-7,0,0,0,0.0710968226194382,0,0,17,-3971.5458984375,-4408.42138671875,-3956.95678710938
1,-10,0,0,0,0.309047639369965,1,0,0,0,0,0
1,-10,4,-40,0,0.328344404697418,1,0.16666667163372,1,-0.956756770610809,-0.897297322750092,-0.805405378341675
1,1,0,0,1,0.470080554485321,1,0.5,17,-3971.5458984375,-4408.42138671875,-3956.95678710938
1,-5,0,0,0,0.102478355169296,1,0,2,-7.65405416488647,-7.17837858200073,-6.4432430267334
1,-9,0,0,0,0.170292302966118,0,0.142857134342194,2,-7.65405416488647,-7.17837858200073,-6.4432430267334
1,-7,0,0,0,0.0218097437173128,0,0,16,-3406.87573242188,-3675.32983398438,-3298.9404296875
1,-9,0,0,0,0.373385459184647,0,0.6875,31,-16335.740234375,-25003.3828125,-23993.83203125
1,-7,0,0,0,0.5712730884552,1,0,15,-2886.05395507812,-3028.37841796875,-2718.2431640625
1,-5,0,0,0,0.102478355169296,1,0,2,-7.65405416488647,-7.17837858200073,-6.4432430267334
1,-9,0,0,0,0.0717417299747467,1,0,17,-3971.5458984375,-4408.42138671875,-3956.95678710938
1,-7,0,0,0,0.652331352233887,0,0,18,-4579.80517578125,-5233.03759765625,-4697.12451171875
1,-10,2,-20,0,0.37335017323494,1,0,0,0,0,0
1,-9,5,-45,0,0.747801780700684,1,0.25,7,-328.167572021484,-307.772979736328,-276.254058837891
1,-7,0,0,0,0.699795484542847,1,0.125,0,0,0,0
1,-7,0,0,0,0.638478994369507,1,0.125,5,-119.594596862793,-112.162162780762,-100.675674438477
1,-9,10,-90,0,0.501749455928802,1,0.125,1,-0.956756770610809,-0.897297322750092,-0.805405378341675
1,-8,1,-8,0,0.199999988079071,1,0,7,-328.167572021484,-307.772979736328,-276.254058837891
1,-7,8,-56,0,0.206994533538818,1,0,5,-119.594596862793,-112.162162780762,-100.675674438477
1,1,10,10,0,0.222182884812355,1,0.111111111938953,4,-61.2324333190918,-57.4270286560059,-51.5459442138672
1,-9,0,0,0,0.614774167537689,1,0.125,2,-7.65405416488647,-7.17837858200073,-6.4432430267334
1,-10,0,0,0,0.0662915930151939,1,0.0833333283662796,14,-2409.34057617188,-2462.18383789062,-2210.03247070312
1,-7,0,0,0,0.858055651187897,0,0.25,1,-0.956756770610809,-0.897297322750092,-0.805405378341675
1,-4,0,0,0,0.101300351321697,1,0.111111111938953,0,0,0,0
1,-8,0,0,0,0.974276602268219,0,0.200000002980232,75,-102868.75,-202931.3125,-280461.40625
1,-5,0,0,0,0.101184390485287,1,0,0,0,0,0
1,-9,0,0,0,0.0387095473706722,0,0,4,-61.2324333190918,-57.4270286560059,-51.5459442138672
1,-2,8,-16,0,0.172708183526993,1,0.0714285671710968,1,-0.956756770610809,-0.897297322750092,-0.805405378341675
1,-9,0,0,0,0.325680941343307,1,0.0625,21,-6663.5244140625,-8301.8701171875,-7458.859375
1,-9,0,0,0,0.299640446901321,1,0,1,-0.956756770610809,-0.897297322750092,-0.805405378341675
1,4,0,0,0,0.0497925318777561,1,0,0,0,0,0
1,-7,0,0,0,0.119818136096001,1,0,0,0,0,0
1,-9,0,0,0,0.687178313732147,0,0.28571429848671,59,-63846.75,-120286.015625,-153246.359375
1,-9,0,0,0,0.431835800409317,0,0.28571429848671,59,-63846.75,-120286.015625,-153246.359375
1,-6,6,-36,0,0.267861992120743,1,0,5,-119.594596862793,-112.162162780762,-100.675674438477
1,-9,0,0,1,0.0444029308855534,1,0.400000005960464,46,-38254.875,-67656.328125,-77394.9375
1,7,1,7,1,0.225211247801781,1,0.214285716414452,11,-1246.44323730469,-1194.302734375,-1071.99462890625
1,-5,0,0,0,0.101184390485287,1,0,0,0,0,0
1,-9,10,-90,0,0.63543963432312,1,0.25,0,0,0,0
1,-7,10,-70,0,0.84889030456543,0,0.25,24,-9130.205078125,-12279.23828125,-11133.9248046875
1,-7,0,0,0,0.103403426706791,1,0,0,0,0,0
